program,gender,age,height,weight,prev_salary,expected_salary,preferred_organization,Do you LIVE WITH YOUR PARENTS? ,monthly_expenses,transport_mode,transport_cost,entertainment_cost,cellphone_cost,foot_size,alcoholic_drinks_per_week,sleep_hours,How much time in hours do you spend each week on social netorking sites?,study_hours,work_hours,travel_outside_NA,pay_own_tuition,coffees_per_day,height_m,BMI,coffee_per_week,total_monthly_expense
16,0,20.0,180.0,70.0,2500.0,4500.0,. Non-profit or Government Agency,Yes,0,3. Drive,100,100,80,10.5,1,7,4,12,0,Yes,No,1.0,1.8,21.604938271604937,7.0,010010080
0,0,33.0,167.0,70.0,4000.0,4000.0,. Large Corporation,No,2500,2. Public Transport,70,250,120,9.68,0,7,1,0,40,No,Yes,0.0,1.67,25.099501595611173,0.0,250070250120
0,0,29.0,180.0,65.0,4500.0,7000.0,. Large Corporation,Yes,1000,3. Drive,1000,500,50,10,0,7,5,10,40,Yes,Yes,3.0,1.8,20.061728395061728,21.0,1000100050050
0,0,22.0,175.0,59.0,2600.0,3000.0,. Large Corporation,Yes,$150,3. Drive,$10,$300,$40,,3,8,21,2,40,Yes,No,3.0,1.75,19.26530612244898,21.0,$150$10$300$40
0,0,27.0,166.0,70.0,1600.0,2300.0,. Non-profit or Government Agency,Yes,200,2. Public Transport,60,70,45,11,0,7,10,0,40,Yes,No,3.0,1.66,25.402816083611555,21.0,200607045
0,0,29.0,171.0,64.0,1600.0,2000.0,. Non-profit or Government Agency,No,1800,2. Public Transport,40,100,72,,3,7,5,,50,Yes,No,3.0,1.71,21.887076365377382,21.0,18004010072
0,0,25.0,165.0,60.0,5000.0,5500.0,. Small Company,No,2000,1. Walk,0,100,50,9 1/4,2,8,5,0,40,Yes,No,4.0,1.65,22.03856749311295,28.0,2000010050
0,0,27.0,180.0,70.0,0.0,5000.0,. Small Company,No,,1. Walk,0,1000,90,,10,7,1,10,40,Yes,Yes,0.0,1.8,21.604938271604937,0.0,
0,0,26.0,171.0,60.0,5000.0,6000.0,. Large Corporation,No,500,2. Public Transport,140,500,70,9.6,10,7,5,5,5,Yes,Yes,1.0,1.71,20.519134092541297,7.0,50014050070
0,0,28.0,178.0,86.0,4000.0,5000.0,. Small Company,No,1200,2. Public Transport,40,300,50,13,5,7,7,10,40,Yes,Yes,2.0,1.78,27.143037495265748,14.0,12004030050
0,0,32.0,180.0,86.0,2800.0,5500.0,. Small Company,No,775,2. Public Transport,,30,65,11,16,7,2,0,14,No,Yes,1.0,1.8,26.54320987654321,7.0,
0,0,24.0,168.0,72.0,4400.0,6000.0,. Small Company,No,1800,2. Public Transport,140,600,64,10.43,12,8,14,14,40,Yes,No,1.5,1.68,25.510204081632658,10.5,180014060064
0,0,26.0,164.0,64.0,3300.0,4000.0,. Small Company,No,1600,2. Public Transport,200,400,60,9,10,6,8,4,37.5,No,Yes,2.0,1.64,23.795359904818564,14.0,160020040060
0,0,27.0,155.0,46.0,3038.0,5000.0,. Large Corporation,No,2500,3. Drive,200,200,75,8.75,1,8,10,8,40,Yes,No,1.0,1.55,19.14672216441207,7.0,250020020075
0,0,24.0,150.0,45.0,3000.0,4000.0,. Large Corporation,Yes,2000,3. Drive,250,500,75,8.7,0,7,10,20,40,Yes,Yes,1.0,1.5,20.0,7.0,200025050075
